Servicio Meteorológico Nacional
Red: SMN
Estación: SANQUINTIN
Estado: Baja California
Municipio: Ensenada
Latitud (N): 30.53166667
Longitud (O): -115.8375
Altitud: 32

Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²),
2023-04-03 18:30:00,2023-04-04 00:30:00,314.0,299.0,22.9,35.6,14.4,52,1012.3,0,296,
2023-04-03 18:20:00,2023-04-04 00:20:00,310.0,299.0,25.2,40.3,14.4,50,1012.4,0,342,
2023-04-03 18:10:00,2023-04-04 00:10:00,313.0,301.0,22.5,31.7,14.7,52,1012.3,0,385,
2023-04-03 18:00:00,2023-04-04 00:00:00,313.0,310.0,23.3,35.3,14.8,51,1012.4,0,430,
2023-04-03 17:50:00,2023-04-03 23:50:00,315.0,304.0,21.8,35.6,15,51,1012.4,0,469,
2023-04-03 17:40:00,2023-04-03 23:40:00,313.0,307.0,22.8,36.4,15.1,50,1012.5,0,507,
2023-04-03 17:30:00,2023-04-03 23:30:00,310.0,302.0,24.8,36.7,15.1,50,1012.5,0,548,
2023-04-03 17:20:00,2023-04-03 23:20:00,318.0,319.0,24.3,37.1,15.2,52,1012.5,0,582,
2023-04-03 17:10:00,2023-04-03 23:10:00,310.0,302.0,24.9,34.9,15.1,53,1012.6,0,620,
2023-04-03 17:00:00,2023-04-03 23:00:00,307.0,297.0,27.5,41.8,15.1,54,1012.4,0,656,
2023-04-03 16:50:00,2023-04-03 22:50:00,305.0,296.0,29.8,41,15.1,51,1012.5,0,691,
2023-04-03 16:40:00,2023-04-03 22:40:00,306.0,301.0,29.6,39.6,15.2,54,1012.6,0,721,
2023-04-03 16:30:00,2023-04-03 22:30:00,309.0,295.0,26.5,43.6,15.5,53,1012.6,0,752,
2023-04-03 16:20:00,2023-04-03 22:20:00,305.0,296.0,27.8,41.4,15.5,55,1012.5,0,782,
2023-04-03 16:10:00,2023-04-03 22:10:00,309.0,297.0,26.6,40.3,15.5,56,1012.6,0,807,
2023-04-03 16:00:00,2023-04-03 22:00:00,304.0,299.0,28.9,45,15.7,53,1012.6,0,831,
2023-04-03 15:50:00,2023-04-03 21:50:00,308.0,302.0,25.3,41,16.2,50,1012.7,0,854,
2023-04-03 15:40:00,2023-04-03 21:40:00,311.0,300.0,23,37.8,15.9,52,1012.8,0,874,
2023-04-03 15:30:00,2023-04-03 21:30:00,305.0,302.0,25.8,38.2,15.9,56,1012.8,0,894,
2023-04-03 11:20:00,2023-04-03 17:20:00,319.0,305.0,18.7,29.2,14.4,61,1014.1,0,374,
2023-04-03 11:10:00,2023-04-03 17:10:00,313.0,309.0,21.6,36.7,14.2,61,1013.9,0,356,
2023-04-03 11:00:00,2023-04-03 17:00:00,312.0,304.0,19.4,31,14.3,63,1013.9,0,377,
2023-04-03 10:50:00,2023-04-03 16:50:00,321.0,340.0,19.6,31.3,14.3,69,1013.7,0,404,
2023-04-03 10:40:00,2023-04-03 16:40:00,325.0,318.0,15.2,26.3,14.1,73,1013.7,0,447,
2023-04-03 10:30:00,2023-04-03 16:30:00,329.0,346.0,16,24.5,13.7,78,1013.6,0,309,
2023-04-03 10:20:00,2023-04-03 16:20:00,327.0,338.0,15.2,23.4,13.4,79,1013.5,0,338,
2023-04-03 10:10:00,2023-04-03 16:10:00,329.0,330.0,17,28.4,13.3,81,1013.4,0,249,
2023-04-03 10:00:00,2023-04-03 16:00:00,323.0,319.0,13.8,22,12.9,82,1013.4,0,251,
2023-04-03 09:50:00,2023-04-03 15:50:00,327.0,346.0,14.6,24.1,12.6,82,1013.4,0,207,
2023-04-03 09:40:00,2023-04-03 15:40:00,332.0,347.0,13.1,21.2,12.6,81,1013.3,0,133,
2023-04-03 09:30:00,2023-04-03 15:30:00,336.0,345.0,13.4,19.4,12.6,79,1013.2,0,129,
2023-04-03 09:20:00,2023-04-03 15:20:00,338.0,344.0,9.5,16.9,12.2,81,1013.2,0,257,
2023-04-03 09:10:00,2023-04-03 15:10:00,338.0,339.0,10.3,15.8,11.8,83,1013.1,0,135,
2023-04-03 09:00:00,2023-04-03 15:00:00,342.0,342.0,9.3,15.8,11.6,85,1013,0,177,
2023-04-03 08:50:00,2023-04-03 14:50:00,340.0,348.0,6.3,9.7,11,91,1013,0,200,
2023-04-03 08:40:00,2023-04-03 14:40:00,350.0,353.0,4.1,8.6,10.7,96,1012.9,0,160,
2023-04-03 08:30:00,2023-04-03 14:30:00,10.0,355.0,1.2,4.3,10,100,1012.8,0,135,
2023-04-03 08:20:00,2023-04-03 14:20:00,29.0,74.0,1.1,3.2,9.2,100,1012.7,0,102,
2023-04-03 08:10:00,2023-04-03 14:10:00,297.0,62.0,1.4,2.2,8.6,100,1012.6,0,52,
2023-04-03 08:00:00,2023-04-03 14:00:00,271.0,281.0,1.7,2.2,8.3,99,1012.4,0,15,
2023-04-03 07:50:00,2023-04-03 13:50:00,280.0,282.0,1.9,2.9,8.2,97,1012.3,0,0,
2023-04-03 07:40:00,2023-04-03 13:40:00,266.0,279.0,1.8,3.2,8.4,96,1012.1,0,0,
2023-04-03 07:30:00,2023-04-03 13:30:00,9.0,130.0,0.2,1.4,8.7,95,1012,0,0,
2023-04-03 07:20:00,2023-04-03 13:20:00,102.0,102.0,1.5,2.2,9.1,94,1011.8,0,0,
2023-04-03 07:10:00,2023-04-03 13:10:00,72.0,349.0,2,3.2,9.4,93,1011.7,0,0,
2023-04-03 07:00:00,2023-04-03 13:00:00,332.0,332.0,2.9,4.7,9.8,93,1011.6,0,0,
2023-04-03 06:50:00,2023-04-03 12:50:00,340.0,342.0,5,6.8,10.1,92,1011.5,0,0,
2023-04-03 06:40:00,2023-04-03 12:40:00,349.0,349.0,5.7,7.2,10.2,92,1011.5,0,0,
2023-04-03 06:30:00,2023-04-03 12:30:00,352.0,347.0,5.3,7.2,10.4,91,1011.5,0,0,
2023-04-03 06:20:00,2023-04-03 12:20:00,360.0,351.0,4.1,5.8,10.5,91,1011.4,0,0,
2023-04-03 06:10:00,2023-04-03 12:10:00,350.0,344.0,5,7.2,10.6,90,1011.4,0,0,
2023-04-03 06:00:00,2023-04-03 12:00:00,354.0,354.0,5.3,7.2,10.8,89,1011.4,0,0,
